移动央视,#genre#
北京卫视,http://ott.mobaibox.com/PLTV/1/224/3221227694/index.m3u8
东方卫视,http://ott.mobaibox.com/PLTV/1/224/3221227688/index.m3u8
浙江卫视,http://ott.mobaibox.com/PLTV/3/224/3221228147/index.m3u8
江苏卫视,http://ott.mobaibox.com/PLTV/1/224/3221227689/index.m3u8
湖南卫视,http://ott.mobaibox.com/PLTV/1/224/3221227698/index.m3u8
山东卫视,http://ott.mobaibox.com/PLTV/1/224/3221227697/index.m3u8
安徽卫视,http://ott.mobaibox.com/PLTV/1/224/3221227653/index.m3u8
东南卫视,http://ott.mobaibox.com/PLTV/1/224/3221227670/index.m3u8
广东卫视,http://ott.mobaibox.com/PLTV/1/224/3221227673/index.m3u8
深圳卫视,http://ott.mobaibox.com/PLTV/1/224/3221227695/index.m3u8
湖北卫视,http://ott.mobaibox.com/PLTV/1/224/3221227703/index.m3u8
重庆卫视,http://ott.mobaibox.com/PLTV/1/224/3221227729/index.m3u8
江西卫视,http://ott.mobaibox.com/PLTV/1/224/3221227738/index.m3u8
天津卫视,http://ott.mobaibox.com/PLTV/1/224/3221227741/index.m3u8
黑龙江卫视,http://ott.mobaibox.com/PLTV/1/224/3221227753/index.m3u8
安徽卫视,http://ott.mobaibox.com/PLTV/3/224/3221228327/index.m3u8
辽宁卫视,http://ott.mobaibox.com/PLTV/3/224/3221228162/index.m3u8
香港卫视,http://ott.mobaibox.com/PLTV/3/224/3221228530/index.m3u8



